advice,"['advice', '-0.31203', '0.88249', '-0.84702', '0.2006', '1.2679', '-0.8225', '1.3129', '-0.95028', '0.19272', '-0.65553', '-0.51326', '-0.059124', '-3.7916', '0.017879', '0.27492', '0.11131', '0.56909', '-0.78167', '0.29715', '-0.73775', '0.76373', '-0.11555', '-1.1857', '0.35701', '-1.0766\n']"
testing,"['testing', '0.37797', '1.1288', '-0.5209', '-0.28164', '0.84288', '-0.18925', '0.77858', '-1.6585', '1.1572', '0.36567', '0.25681', '0.29508', '-2.6922', '-0.080627', '1.1306', '0.21562', '-0.038753', '0.32735', '0.25037', '-0.3783', '-0.68714', '-0.47562', '-0.34941', '0.30012', '-0.44136\n']"
novel,"['novel', '0.69214', '-0.12197', '1.0062', '0.20488', '0.62601', '-0.22483', '1.1476', '0.76476', '1.2868', '-0.35359', '0.3194', '1.3029', '-1.918', '-0.38725', '0.17671', '0.53027', '0.74713', '0.19896', '-0.37732', '0.098764', '-1.3672', '-0.34753', '-1.9951', '-0.13393', '-0.51779\n']"
coronavirus,"['coronavirus', '0.23221', '0.19274', '-0.20191', '0.55183', '0.22028', '-1.733', '-0.5179', '-0.48583', '0.99621', '-0.61992', '1.3618', '0.51214', '-0.27673', '-0.26378', '0.9227', '1.0396', '0.44228', '0.83579', '1.3481', '0.55633', '-0.64568', '0.25664', '-0.19045', '-1.9823', '-0.043051\n']"
quarter,"['quarter', '0.52654', '0.80356', '0.30172', '-0.83873', '0.030952', '0.28469', '0.43751', '-1.0455', '0.16703', '-0.39271', '0.6135', '0.40516', '-3.0835', '1.7134', '0.90825', '-1.1998', '0.43923', '-0.2828', '-0.25649', '0.032726', '-1.2318', '0.6634', '1.4921', '-0.12729', '-0.51078\n']"
patient,"['patient', '-1.3836', '0.71107', '-1.832', '0.65379', '0.74203', '-0.1154', '0.4721', '-0.58219', '0.034721', '0.17285', '-0.51932', '0.26039', '-2.9183', '0.6748', '0.38541', '0.23262', '0.39111', '0.49119', '-0.043787', '-1.0587', '0.71371', '-0.11127', '-1.0277', '0.13327', '-0.60835\n']"
chronic,"['chronic', '-0.45754', '0.93971', '-1.4052', '1.6868', '0.82349', '0.6448', '0.41423', '-1.3968', '0.60672', '0.49891', '-0.30376', '0.74344', '-1.32', '0.1249', '1.4593', '-0.24396', '0.77627', '0.53717', '1.5028', '-1.1396', '0.099194', '0.59726', '0.45295', '-0.64593', '0.85094\n']"
illness,"['illness', '-0.37455', '0.67055', '-1.5771', '0.90782', '0.65685', '-0.38025', '1.0757', '-1.4619', '-0.3399', '0.53564', '0.3232', '0.3472', '-1.995', '0.52651', '1.6289', '0.03737', '0.14216', '0.81433', '0.95963', '-1.232', '0.11655', '0.54997', '-0.45009', '-0.45518', '0.062286\n']"
feel,"['feel', '-0.33', '0.067231', '0.15326', '-0.17106', '-0.25923', '0.94201', '2.2759', '-0.16756', '-1.0354', '0.58828', '-1.0504', '0.69182', '-4.5137', '-0.10559', '-0.11195', '0.32448', '0.55272', '-0.34568', '0.28992', '-1.4658', '0.29803', '0.81857', '0.40976', '0.86452', '-0.22109\n']"
risk,"['risk', '-0.05865', '0.81929', '-1.623', '0.71428', '1.1232', '0.43762', '0.3131', '-1.2983', '0.40929', '0.63651', '0.36902', '0.18011', '-3.1119', '1.1974', '0.23128', '-0.37193', '0.076346', '0.58431', '0.71122', '-1.5847', '0.067754', '0.083669', '-0.14365', '-0.20403', '0.0099313\n']"
