status_id,user_id,created_at,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang;;;;
"1243689257589448704,214670199,2020-03-28T00:00:00Z,NOTICIEROS7,""#SLP Solicita Azuara Zúñiga claridad en pruebas de Covid-19";;;;
;;;;
#Covid19;;;;
0;;;;
0;;;;
;;;;
"https://t.co/4ce5NibAS0"",TweetDeck,,,,FALSE,FALSE,50,0,,,,29498,1562,,2010-11-11T23:28:46Z,FALSE,es";;;;
"1243689259619495937,2548168922,2020-03-28T00:00:00Z,imssjalcontigo,""#PrevenciónCoronavirus | ¿Sabías que al estornudar o toser los virus alcanzan una velocidad de hasta 60 km/h 😱? ";;;;
;;;;
"Utiliza esta técnica para evitar propagar #EnfermedadesRespiratorias como la causada por el #Coronavirus #COVID19 https://t.co/T29UEdviKC"",TweetDeck,,,,FALSE,FALSE,1530,0,,,,3868,634,,2014-06-05T13:46:44Z,FALSE,es";;;;
"1243689257190838273,58606864,2020-03-28T00:00:00Z,noroestemx,""A través de un video, el Embajador de #EU en #México, Christopher Landau, urge a los estadounidenses, turistas o residentes en el País, a regresar a su nación, de cara a la pandemia de #Covid19 https://t.co/swhC2p1MNc"",TweetDeck,,,,FALSE,FALSE,3024,0,,,,127525,446,,2009-07-20T22:08:51Z,FALSE,es";;;;
"1243689258390519808,900122660537077762,2020-03-28T00:00:00Z,telediario,""⚽ La directiva indicó que, aunque ningún jugador tiene #COVID19 estará al pendiente de todos los integrantes del #Puebla ";;;;
;;;;
"https://t.co/LcJfKcncUO"",TweetDeck,,,,FALSE,FALSE,1473,1,,,,44097,781,,2017-08-22T22:29:00Z,TRUE,es";;;;
1243689257795047426,1115874631,2020-03-28T00:00:00Z,CGTNOfficial,Is losing the sense of smell and taste a new symptom of #COVID19? https://t.co/UHxBOtiROi,TweetDeck,,,,FALSE,FALSE,65,9,,,,14040238,55,,2013-01-24T03:18:59Z,TRUE,en;;;;
1243689259497746434,4916960534,2020-03-28T00:00:00Z,OpinionLSR,#COVID19😷 Las estimaciones mundiales establecen que el 70% de la población mundial se contagiará de #Coronavirus ✍️ @C_Humphrey_J #OpiniónLSR https://t.co/OH4TetDLAB https://t.co/Dbus3eQolk,TweetDeck,,,,FALSE,FALSE,5618,8,,,,9222,1518,,2016-02-16T17:41:25Z,TRUE,es;;;;
"1243689257245577216,132225222,2020-03-28T00:00:00Z,SSalud_mx,""¡#Infórmate! #ConferenciaDePrensa sobre el #Coronavirus #COVID19 a las 7 pm. Sigue la transmisión en nuestros perfiles de Facebook, Twitter y en https://t.co/BE7JBC7ARm. https://t.co/AkajQdxNP1"",TweetDeck,,,,FALSE,FALSE,3946,45,,,,800628,210,,2010-04-12T16:53:45Z,TRUE,es";;;;
1243689259309117441,531234470,2020-03-28T00:00:00Z,DiarioDeTabasco,#Espectáculos | Vocalista de Ramstein hospitalizado por #covid19 https://t.co/Un2TYdnUg0 https://t.co/ytiR2PuufM,TweetDeck,,,,FALSE,FALSE,2530,0,,,,30250,991,,2012-03-20T13:24:13Z,FALSE,es;;;;
"1243689260496060418,47798025,2020-03-28T00:00:00Z,EBmedicine,""New evidence and advice on SARS-CoV-2 testing and co-infection: Novel Coronavirus SARS-CoV-2 (COVID-19), an Updated Overview for Emergency Clinicians https://t.co/M3QCl4kOAl #flattenthecurve #COVID19PH #stayhomechallenge #shelterinplace #COVID19 #emergencymedicine #FOAMed #FOAMed https://t.co/LrvNcgXkAf"",SEMrush Social Media Tool,,,,FALSE,FALSE,315,0,,,,7038,7222,,2009-06-17T00:58:22Z,FALSE,en";;;;
1243689260265463808,1925199355,2020-03-28T00:00:00Z,MailMyStatement,Almost three quarters of patients with chronic illnesses feel more at risk for COVID-19 https://t.co/hlZDyxHYnV via @HC_Finance #covid19,eClincher,,,,FALSE,FALSE,1451,0,,,,5943,4917,,2013-10-02T01:01:01Z,FALSE,en;;;;
"1243689260227497985,913732650627665920,2020-03-28T00:00:00Z,InfoMdpya,""En Italia se curó un paciente de 101 años ";;;;
#101años #Recuperada ;;;;
#COVID2019 #COVID19 #coronavirus ;;;;
#Italia ;;;;
"https://t.co/KL0poXP16r https://t.co/R2hmgZHcnh"",Twitter for Advertisers,,,,FALSE,FALSE,874,1,,,,3132,3488,,2017-09-29T11:50:15Z,FALSE,es";;;;
"1243689260064092161,12689622,2020-03-28T00:00:00Z,TVBrasil,""Agora você pode tirar dúvidas sobre o #coronavírus pelo WhatsApp! O @minsaude criou um canal exclusivo para que qualquer pessoa possa ter mais informações sobre a #covid19.";;;;
Saiba como no vídeo do #BrasilEmDia.;;;;
"https://t.co/TngZpfSyZd https://t.co/DbbYwPCmfd"",Twitter Media Studio,,,,FALSE,FALSE,9774,3,,,,235515,207,,2008-01-25T17:09:14Z,TRUE,pt";;;;
"1243689260055552005,1127146646,2020-03-28T00:00:00Z,Capital_21,""#21Noticias | Miguel Ángel es un adulto mayor que paró su trabajo como taxista para evitar el contagio de #COVID19..";;;;
;;;;
"¡#QuédateEnCasa y atiende las medidas preventivas ante esta contingencia! https://t.co/DNjh8V33lZ"",Twitter Media Studio - LiveCut,,,,FALSE,FALSE,20597,2,,,,53963,289,,2013-01-28T06:03:17Z,TRUE,es";;;;
1243689259954888704,613737730,2020-03-28T00:00:00Z,Aminuddin001,Rantai pertanyaan spt diatas tdk akan pernah putus jika kita tdk menkomfirmasi apakah mereka positip #COVID19 bukan?  Jadi intinya lebih byk test PCR.  Tes antibodi bukan cara yg efisien dan efektif berpacu dengan kecepatan penyebaran virus.  cc @BNPB_Indonesia @nurdinabdullahh,Twitter for Android,1243688501419245568,613737730,Aminuddin001,FALSE,FALSE,870,0,,,,833,3907,,2012-06-20T20:29:58Z,FALSE,in;;;;
"1243689259908976640,1732143360,2020-03-28T00:00:00Z,senalutv,""📺 Desde el canal de #TV de la @uncuyo #SeguimosEducando en esta #CuarentenaObligatoria por el #coronavirus. https://t.co/GvcN6AbTGj";;;;
;;;;
"📌 #CoronavirusEnArgentina #Covid19"",TweetDeck,,,,FALSE,FALSE,5425,0,,,,5343,296,,2013-09-05T14:51:39Z,FALSE,es";;;;
"1243689259812425729,3060539594,2020-03-28T00:00:00Z,StephTweetChat,""We may see a dawning awareness of dependence, community &amp";;;;
;;;;
"#COVID19 #Coronavirus #PublicHealth #EmergencyPreparedness #CrisisManagement #RiskManagement #SupplyChain #Pandemic #SocialImpact #Resilience https://t.co/MOIvUuYAyF"",LinkedIn,,,,FALSE,FALSE,4087,0,,,,7680,7192,,2015-03-03T22:30:00Z,FALSE,en";;;;
"1243689259778916353,93692604,2020-03-28T00:00:00Z,daryl210,""If there are any volunteer schemes going or anyone that needs a hand in anything...I am a self employed carpenter thats available 👍👍";;;;
;;;;
"#volunteers #COVID19 #CoronavirusOutbreak #IsolationLife #CoronaLockdown #HelptheNHS #HelpingHands"",Twitter for Android,,,,FALSE,FALSE,347,0,,,,102,258,,2009-11-30T19:11:16Z,FALSE,en";;;;
"1243689258260389888,1047491340383281152,2020-03-28T00:00:00Z,CleanAirMoms_AZ,"".@EPA issued a sweeping suspension of its enforcement of environmental laws, telling companies they would not need to meet environmental standards during the #COVID19 outbreak. #MomsAreFurious https://t.co/5iSQWCuCvi"",TweetDeck,,,,FALSE,FALSE,371,0,,,,117,181,,2018-10-03T14:19:31Z,FALSE,en";;;;
"1243689259770372096,1047491340383281152,2020-03-28T00:00:00Z,CleanAirMoms_AZ,""“This @EPA statement is essentially a nationwide waiver of environmental rules for the indefinite future,"""" says Cynthia Giles, who headed EPA’s Office of Enforcement. #MomsAreFurious #COVID19 https://t.co/5iSQWCuCvi"",TweetDeck,,,,FALSE,FALSE,371,0,,,,117,181,,2018-10-03T14:19:31Z,FALSE,en";;;;
"1243689259623690240,2188584324,2020-03-28T00:00:00Z,SNTEDUCINDIGENA,""#Importante #CulturaSurvival Programa en idioma Ayuujk de la variante de Tlahuitoltpec con las formas de prevenir el contagio #COVID19.";;;;
;;;;
👉 https://t.co/9qKGfl39yF;;;;
;;;;
"#ConocimientosYsaberes #NuestraSaludEsPrimero #NuestraLenguaNuestraIdentidad https://t.co/IThfumqClX"",TweetDeck,,,,FALSE,FALSE,703,3,,,,1104,235,,2013-11-11T15:36:56Z,FALSE,es";;;;
